p, k, repitition, day
0.000000,0.000000,0,0,5
0.000000,0.000000,0,1,5
0.000000,0.000000,0,2,5
0.000000,0.000000,0,3,5
0.000000,0.000000,0,4,5
0.000000,0.000000,0,5,5
0.000000,0.000000,0,6,5
0.000000,0.000000,0,7,5
0.000000,0.000000,0,8,5
0.000000,0.000000,0,9,5
0.000000,0.010000,0,0,5
0.000000,0.010000,0,1,5
0.000000,0.010000,0,2,5
0.000000,0.010000,0,3,5
0.000000,0.010000,0,4,5
0.000000,0.010000,0,5,5
0.000000,0.010000,0,6,5
0.000000,0.010000,0,7,5
0.000000,0.010000,0,8,5
0.000000,0.010000,0,9,5
0.000000,0.020000,0,0,5
0.000000,0.020000,0,1,5
0.000000,0.020000,0,2,5
0.000000,0.020000,0,3,5
0.000000,0.020000,0,4,5
0.000000,0.020000,0,5,5
0.000000,0.020000,0,6,5
0.000000,0.020000,0,7,5
0.000000,0.020000,0,8,5
0.000000,0.020000,0,9,5
0.000000,0.030000,0,0,5
0.000000,0.030000,0,1,5
0.000000,0.030000,0,2,5
0.000000,0.030000,0,3,5
0.000000,0.030000,0,4,5
0.000000,0.030000,0,5,5
0.000000,0.030000,0,6,5
0.000000,0.030000,0,7,5
0.000000,0.030000,0,8,5
0.000000,0.030000,0,9,5
0.000000,0.040000,0,0,5
0.000000,0.040000,0,1,5
0.000000,0.040000,0,2,5
0.000000,0.040000,0,3,5
0.000000,0.040000,0,4,5
0.000000,0.040000,0,5,5
0.000000,0.040000,0,6,5
0.000000,0.040000,0,7,5
0.000000,0.040000,0,8,5
0.000000,0.040000,0,9,5
0.000000,0.050000,0,0,5
0.000000,0.050000,0,1,5
0.000000,0.050000,0,2,5
0.000000,0.050000,0,3,5
0.000000,0.050000,0,4,5
0.000000,0.050000,0,5,5
0.000000,0.050000,0,6,5
0.000000,0.050000,0,7,5
0.000000,0.050000,0,8,5
0.000000,0.050000,0,9,5
0.000000,0.060000,0,0,5
0.000000,0.060000,0,1,5
0.000000,0.060000,0,2,5
0.000000,0.060000,0,3,5
0.000000,0.060000,0,4,5
0.000000,0.060000,0,5,5
0.000000,0.060000,0,6,5
0.000000,0.060000,0,7,5
0.000000,0.060000,0,8,5
0.000000,0.060000,0,9,5
0.000000,0.070000,0,0,5
0.000000,0.070000,0,1,5
0.000000,0.070000,0,2,5
0.000000,0.070000,0,3,5
0.000000,0.070000,0,4,5
0.000000,0.070000,0,5,5
0.000000,0.070000,0,6,5
0.000000,0.070000,0,7,5
0.000000,0.070000,0,8,5
0.000000,0.070000,0,9,5
0.000000,0.080000,0,0,5
0.000000,0.080000,0,1,5
0.000000,0.080000,0,2,5
0.000000,0.080000,0,3,5
0.000000,0.080000,0,4,5
0.000000,0.080000,0,5,5
0.000000,0.080000,0,6,5
0.000000,0.080000,0,7,5
0.000000,0.080000,0,8,5
0.000000,0.080000,0,9,5
0.000000,0.090000,0,0,5
0.000000,0.090000,0,1,5
0.000000,0.090000,0,2,5
0.000000,0.090000,0,3,5
0.000000,0.090000,0,4,5
0.000000,0.090000,0,5,5
0.000000,0.090000,0,6,5
0.000000,0.090000,0,7,5
0.000000,0.090000,0,8,5
0.000000,0.090000,0,9,5
0.000000,0.100000,0,0,5
0.000000,0.100000,0,1,5
0.000000,0.100000,0,2,5
0.000000,0.100000,0,3,5
0.000000,0.100000,0,4,5
0.000000,0.100000,0,5,5
0.000000,0.100000,0,6,5
0.000000,0.100000,0,7,5
0.000000,0.100000,0,8,5
0.000000,0.100000,0,9,5
0.000000,0.110000,0,0,5
0.000000,0.110000,0,1,5
0.000000,0.110000,0,2,5
0.000000,0.110000,0,3,5
0.000000,0.110000,0,4,5
0.000000,0.110000,0,5,5
0.000000,0.110000,0,6,5
0.000000,0.110000,0,7,5
0.000000,0.110000,0,8,5
0.000000,0.110000,0,9,5
0.000000,0.120000,0,0,5
0.000000,0.120000,0,1,5
0.000000,0.120000,0,2,5
0.000000,0.120000,0,3,5
0.000000,0.120000,0,4,5
0.000000,0.120000,0,5,5
0.000000,0.120000,0,6,5
0.000000,0.120000,0,7,5
0.000000,0.120000,0,8,5
0.000000,0.120000,0,9,5
0.000000,0.130000,0,0,5
0.000000,0.130000,0,1,5
0.000000,0.130000,0,2,5
0.000000,0.130000,0,3,5
0.000000,0.130000,0,4,5
0.000000,0.130000,0,5,5
0.000000,0.130000,0,6,5
0.000000,0.130000,0,7,5
0.000000,0.130000,0,8,5
0.000000,0.130000,0,9,5
0.000000,0.140000,0,0,5
0.000000,0.140000,0,1,5
0.000000,0.140000,0,2,5
0.000000,0.140000,0,3,5
0.000000,0.140000,0,4,5
0.000000,0.140000,0,5,5
0.000000,0.140000,0,6,5
0.000000,0.140000,0,7,5
0.000000,0.140000,0,8,5
0.000000,0.140000,0,9,5
0.000000,0.150000,0,0,5
0.000000,0.150000,0,1,5
0.000000,0.150000,0,2,5
0.000000,0.150000,0,3,5
0.000000,0.150000,0,4,5
0.000000,0.150000,0,5,5
0.000000,0.150000,0,6,5
0.000000,0.150000,0,7,5
0.000000,0.150000,0,8,5
0.000000,0.150000,0,9,5
0.000000,0.160000,0,0,5
0.000000,0.160000,0,1,5
0.000000,0.160000,0,2,5
0.000000,0.160000,0,3,5
0.000000,0.160000,0,4,5
0.000000,0.160000,0,5,5
0.000000,0.160000,0,6,5
0.000000,0.160000,0,7,5
0.000000,0.160000,0,8,5
0.000000,0.160000,0,9,5
0.000000,0.170000,0,0,5
0.000000,0.170000,0,1,5
0.000000,0.170000,0,2,5
0.000000,0.170000,0,3,5
0.000000,0.170000,0,4,5
0.000000,0.170000,0,5,5
0.000000,0.170000,0,6,5
0.000000,0.170000,0,7,5
0.000000,0.170000,0,8,5
0.000000,0.170000,0,9,5
0.000000,0.180000,0,0,5
0.000000,0.180000,0,1,5
0.000000,0.180000,0,2,5
0.000000,0.180000,0,3,5
0.000000,0.180000,0,4,5
0.000000,0.180000,0,5,5
0.000000,0.180000,0,6,5
0.000000,0.180000,0,7,5
0.000000,0.180000,0,8,5
0.000000,0.180000,0,9,5
0.000000,0.190000,0,0,5
0.000000,0.190000,0,1,5
0.000000,0.190000,0,2,5
0.000000,0.190000,0,3,5
0.000000,0.190000,0,4,5
0.000000,0.190000,0,5,5
0.000000,0.190000,0,6,5
0.000000,0.190000,0,7,5
0.000000,0.190000,0,8,5
0.000000,0.190000,0,9,5
0.000000,0.200000,0,0,5
0.000000,0.200000,0,1,5
0.000000,0.200000,0,2,5
0.000000,0.200000,0,3,5
0.000000,0.200000,0,4,5
