p, k, repitition, day
0.000000,1,0,24
0.000000,2,0,42
0.000000,3,0,26
0.000000,4,0,47
0.000000,5,0,90
0.000000,6,0,40
0.000000,7,0,102
0.000000,8,0,76
0.000000,9,0,107
0.000000,10,0,83
0.000000,11,0,97
0.000000,12,0,78
0.000000,13,0,80
0.000000,14,0,155
0.000000,15,0,135
0.000000,16,0,128
0.000000,17,0,178
0.000000,18,0,93
0.000000,19,0,135
0.020000,1,0,36
0.020000,2,0,101
0.020000,3,0,18
0.020000,4,0,154
0.020000,5,0,266
0.020000,6,0,1865
0.020000,7,0,1865
0.020000,8,0,1865
0.020000,9,0,1865
0.020000,10,0,1865
0.020000,11,0,1865
0.020000,12,0,1865
0.020000,13,0,1865
0.020000,14,0,1865
0.020000,15,0,1865
0.020000,16,0,1865
0.020000,17,0,1865
0.020000,18,0,113
0.020000,19,0,1865
0.040000,1,0,19
0.040000,2,0,106
0.040000,3,0,32
0.040000,4,0,1865
0.040000,5,0,244
0.040000,6,0,1865
0.040000,7,0,1865
0.040000,8,0,1865
0.040000,9,0,245
0.040000,10,0,793
0.040000,11,0,105
0.040000,12,0,1865
0.040000,13,0,1217
0.040000,14,0,554
0.040000,15,0,1150
0.040000,16,0,720
0.040000,17,0,96
0.040000,18,0,97
0.040000,19,0,83
0.050000,1,0,31
0.050000,2,0,57
0.050000,3,0,1313
0.050000,4,0,1865
0.050000,5,0,1865
0.050000,6,0,1865
0.050000,7,0,1485
0.050000,8,0,1865
0.050000,9,0,231
0.050000,10,0,1865
0.050000,11,0,1487
0.050000,12,0,447
0.050000,13,0,410
0.050000,14,0,431
0.050000,15,0,241
0.050000,16,0,100
0.050000,17,0,105
0.050000,18,0,629
0.050000,19,0,103
0.070000,1,0,20
0.070000,2,0,1549
0.070000,3,0,1865
0.070000,4,0,1865
0.070000,5,0,1865
0.070000,6,0,113
0.070000,7,0,218
0.070000,8,0,340
0.070000,9,0,425
0.070000,10,0,87
0.070000,11,0,90
0.070000,12,0,107
0.070000,13,0,91
0.070000,14,0,83
0.070000,15,0,85
0.070000,16,0,100
0.070000,17,0,79
0.070000,18,0,79
0.070000,19,0,87
0.090000,1,0,21
0.090000,2,0,1865
0.090000,3,0,1865
0.090000,4,0,1075
0.090000,5,0,84
0.090000,6,0,117
0.090000,7,0,198
0.090000,8,0,107
0.090000,9,0,85
0.090000,10,0,191
0.090000,11,0,200
0.090000,12,0,85
0.090000,13,0,79
0.090000,14,0,85
0.090000,15,0,78
0.090000,16,0,73
0.090000,17,0,75
0.090000,18,0,66
0.090000,19,0,295
0.100000,1,0,39
0.100000,2,0,1865
0.100000,3,0,1865
0.100000,4,0,1865
0.100000,5,0,87
0.100000,6,0,113
0.100000,7,0,190
0.100000,8,0,87
0.100000,9,0,104
0.100000,10,0,187
0.100000,11,0,81
0.100000,12,0,210
0.100000,13,0,90
0.100000,14,0,75
0.100000,15,0,88
0.100000,16,0,73
0.100000,17,0,73
0.100000,18,0,79
0.100000,19,0,79
0.120000,1,0,1865
0.120000,2,0,1865
0.120000,3,0,95
0.120000,4,0,93
0.120000,5,0,101
0.120000,6,0,81
0.120000,7,0,88
0.120000,8,0,94
0.120000,9,0,79
0.120000,10,0,73
0.120000,11,0,79
0.120000,12,0,77
0.120000,13,0,77
0.120000,14,0,81
0.120000,15,0,72
0.120000,16,0,69
0.120000,17,0,80
0.120000,18,0,69
0.120000,19,0,73
0.140000,1,0,1308
0.140000,2,0,1865
0.140000,3,0,585
0.140000,4,0,1428
0.140000,5,0,319
0.140000,6,0,79
0.140000,7,0,85
0.140000,8,0,81
0.140000,9,0,88
0.140000,10,0,78
0.140000,11,0,86
0.140000,12,0,96
0.140000,13,0,71
0.140000,14,0,75
0.140000,15,0,78
0.140000,16,0,76
0.140000,17,0,79
0.140000,18,0,65
0.140000,19,0,67
0.150000,1,0,1865
0.150000,2,0,1865
0.150000,3,0,105
0.150000,4,0,90
0.150000,5,0,88
0.150000,6,0,87
0.150000,7,0,78
0.150000,8,0,73
0.150000,9,0,179
0.150000,10,0,74
0.150000,11,0,79
0.150000,12,0,76
0.150000,13,0,75
0.150000,14,0,71
0.150000,15,0,75
0.150000,16,0,72
0.150000,17,0,67
0.150000,18,0,63
0.150000,19,0,84
0.170000,1,0,1865
0.170000,2,0,211
0.170000,3,0,83
0.170000,4,0,84
0.170000,5,0,207
0.170000,6,0,76
0.170000,7,0,71
0.170000,8,0,194
0.170000,9,0,80
0.170000,10,0,75
0.170000,11,0,73
0.170000,12,0,75
0.170000,13,0,65
0.170000,14,0,68
0.170000,15,0,69
0.170000,16,0,171
0.170000,17,0,67
0.170000,18,0,73
0.170000,19,0,71
0.190000,1,0,268
0.190000,2,0,709
0.190000,3,0,85
0.190000,4,0,94
0.190000,5,0,77
0.190000,6,0,75
0.190000,7,0,177
0.190000,8,0,74
0.190000,9,0,86
0.190000,10,0,77
0.190000,11,0,78
0.190000,12,0,73
0.190000,13,0,82
0.190000,14,0,68
0.190000,15,0,71
0.190000,16,0,79
0.190000,17,0,76
0.190000,18,0,65
0.190000,19,0,57
