p, k, repitition, day
0.000000,1,0,15
0.000000,2,0,42
0.000000,3,0,42
0.000000,4,0,74
0.000000,5,0,37
0.000000,6,0,122
0.000000,7,0,85
0.000000,8,0,75
0.000000,9,0,57
0.000000,10,0,182
0.000000,11,0,77
0.000000,12,0,120
0.000000,13,0,198
0.000000,14,0,185
0.000000,15,0,118
0.000000,16,0,168
0.000000,17,0,205
0.000000,18,0,119
0.000000,19,0,252
0.000000,20,0,272
0.000000,21,0,263
0.000000,22,0,439
0.000000,23,0,291
0.000000,24,0,327
0.000000,25,0,814
0.000000,26,0,471
0.000000,27,0,187
0.000000,28,0,541
0.000000,29,0,331
0.000000,30,0,1289
0.000000,31,0,956
0.000000,32,0,757
0.000000,33,0,383
0.000000,34,0,585
0.000000,35,0,1235
0.000000,36,0,330
0.000000,37,0,266
0.000000,38,0,365
0.000000,39,0,583
0.000000,40,0,316
0.000000,41,0,852
0.000000,42,0,210
0.000000,43,0,1865
0.000000,44,0,538
0.010000,1,0,21
0.010000,2,0,31
0.010000,3,0,80
0.010000,4,0,31
0.010000,5,0,67
0.010000,6,0,75
0.010000,7,0,828
0.010000,8,0,1865
0.010000,9,0,821
0.010000,10,0,1865
0.010000,11,0,1865
0.010000,12,0,1865
0.010000,13,0,1865
0.010000,14,0,1865
0.010000,15,0,1865
0.010000,16,0,1865
0.010000,17,0,1865
0.010000,18,0,1865
0.010000,19,0,1865
0.010000,20,0,1865
0.010000,21,0,1865
0.010000,22,0,1865
0.010000,23,0,1865
0.010000,24,0,1865
0.010000,25,0,1865
0.010000,26,0,272
0.010000,27,0,1865
0.010000,28,0,1865
0.010000,29,0,1865
0.010000,30,0,1865
0.010000,31,0,95
0.010000,32,0,1865
0.010000,33,0,1865
0.010000,34,0,1865
0.010000,35,0,365
0.010000,36,0,99
0.010000,37,0,95
0.010000,38,0,1865
0.010000,39,0,83
0.010000,40,0,105
0.010000,41,0,97
0.010000,42,0,100
0.010000,43,0,87
0.010000,44,0,1865
0.020000,1,0,39
0.020000,2,0,21
0.020000,3,0,40
0.020000,4,0,242
0.020000,5,0,39
0.020000,6,0,713
0.020000,7,0,1865
0.020000,8,0,1865
0.020000,9,0,1865
0.020000,10,0,1865
0.020000,11,0,1865
0.020000,12,0,1865
0.020000,13,0,1865
0.020000,14,0,1865
0.020000,15,0,1865
0.020000,16,0,1865
0.020000,17,0,1865
0.020000,18,0,1865
0.020000,19,0,1865
0.020000,20,0,1865
0.020000,21,0,1865
0.020000,22,0,1865
0.020000,23,0,1085
0.020000,24,0,782
0.020000,25,0,215
0.020000,26,0,100
0.020000,27,0,330
0.020000,28,0,109
0.020000,29,0,641
0.020000,30,0,85
0.020000,31,0,195
0.020000,32,0,93
0.020000,33,0,81
0.020000,34,0,413
0.020000,35,0,88
0.020000,36,0,91
0.020000,37,0,98
0.020000,38,0,93
0.020000,39,0,87
0.020000,40,0,81
0.020000,41,0,87
0.020000,42,0,76
0.020000,43,0,86
0.020000,44,0,82
0.030000,1,0,28
0.030000,2,0,79
0.030000,3,0,32
0.030000,4,0,511
0.030000,5,0,92
0.030000,6,0,1865
0.030000,7,0,1865
0.030000,8,0,1865
0.030000,9,0,1865
0.030000,10,0,1865
0.030000,11,0,1865
0.030000,12,0,1865
