p, k, repitition, day
0.000000,1,0,7
0.000000,2,0,43
0.000000,3,0,82
0.000000,4,0,507
0.000000,5,0,1140
0.000000,6,0,727
0.000000,7,0,775
0.000000,8,0,601
0.000000,9,0,691
0.000000,10,0,523
0.000000,11,0,539
0.000000,12,0,469
0.000000,13,0,369
0.000000,14,0,307
0.000000,15,0,441
0.000000,16,0,245
0.000000,17,0,247
0.000000,18,0,211
0.000000,19,0,213
0.000000,20,0,179
0.000000,21,0,197
0.000000,22,0,279
0.000000,23,0,157
0.000000,24,0,187
0.000000,25,0,235
0.000000,26,0,131
0.000000,27,0,127
0.000000,28,0,183
0.000000,29,0,163
0.000000,30,0,183
0.000000,31,0,147
0.000000,32,0,165
0.000000,33,0,171
0.000000,34,0,91
0.000000,35,0,151
0.000000,36,0,97
0.000000,37,0,113
0.000000,38,0,111
0.000000,39,0,111
0.000000,40,0,95
0.000000,41,0,95
0.000000,42,0,159
0.000000,43,0,99
0.000000,44,0,119
0.010000,1,0,16
0.010000,2,0,93
0.010000,3,0,1865
0.010000,4,0,79
0.010000,5,0,45
0.010000,6,0,35
0.010000,7,0,33
0.010000,8,0,29
0.010000,9,0,29
0.010000,10,0,27
0.010000,11,0,25
0.010000,12,0,23
0.010000,13,0,23
0.010000,14,0,21
0.010000,15,0,21
0.010000,16,0,21
0.010000,17,0,19
0.010000,18,0,19
0.010000,19,0,19
0.010000,20,0,19
0.010000,21,0,17
0.010000,22,0,17
0.010000,23,0,17
0.010000,24,0,17
0.010000,25,0,17
0.010000,26,0,17
0.010000,27,0,17
0.010000,28,0,17
0.010000,29,0,15
0.010000,30,0,15
0.010000,31,0,15
0.010000,32,0,15
0.010000,33,0,15
0.010000,34,0,15
0.010000,35,0,15
0.010000,36,0,15
0.010000,37,0,15
0.010000,38,0,15
0.010000,39,0,15
0.010000,40,0,15
0.010000,41,0,15
0.010000,42,0,15
0.010000,43,0,15
0.010000,44,0,15
0.020000,1,0,22
0.020000,2,0,310
0.020000,3,0,479
0.020000,4,0,52
0.020000,5,0,43
0.020000,6,0,33
0.020000,7,0,27
0.020000,8,0,29
0.020000,9,0,23
0.020000,10,0,23
0.020000,11,0,21
0.020000,12,0,21
0.020000,13,0,19
0.020000,14,0,19
0.020000,15,0,19
0.020000,16,0,19
0.020000,17,0,19
0.020000,18,0,17
0.020000,19,0,17
0.020000,20,0,17
0.020000,21,0,17
0.020000,22,0,17
0.020000,23,0,17
0.020000,24,0,15
0.020000,25,0,15
0.020000,26,0,15
0.020000,27,0,15
0.020000,28,0,15
0.020000,29,0,15
0.020000,30,0,15
0.020000,31,0,15
0.020000,32,0,15
0.020000,33,0,15
0.020000,34,0,15
0.020000,35,0,15
0.020000,36,0,15
0.020000,37,0,15
0.020000,38,0,13
0.020000,39,0,13
0.020000,40,0,15
0.020000,41,0,13
0.020000,42,0,13
0.020000,43,0,13
0.020000,44,0,13
0.030000,1,0,11
0.030000,2,0,1865
0.030000,3,0,69
0.030000,4,0,53
0.030000,5,0,35
0.030000,6,0,30
0.030000,7,0,25
0.030000,8,0,23
0.030000,9,0,23
0.030000,10,0,21
0.030000,11,0,19
0.030000,12,0,19
0.030000,13,0,19
0.030000,14,0,17
0.030000,15,0,17
0.030000,16,0,17
0.030000,17,0,17
0.030000,18,0,17
0.030000,19,0,15
0.030000,20,0,15
0.030000,21,0,17
0.030000,22,0,15
0.030000,23,0,15
0.030000,24,0,15
0.030000,25,0,15
0.030000,26,0,15
0.030000,27,0,15
0.030000,28,0,15
0.030000,29,0,15
0.030000,30,0,15
0.030000,31,0,15
0.030000,32,0,13
0.030000,33,0,15
0.030000,34,0,15
0.030000,35,0,13
0.030000,36,0,13
0.030000,37,0,13
0.030000,38,0,13
0.030000,39,0,13
0.030000,40,0,13
0.030000,41,0,13
0.030000,42,0,13
0.030000,43,0,13
0.030000,44,0,13
0.040000,1,0,12
0.040000,2,0,117
0.040000,3,0,69
0.040000,4,0,37
0.040000,5,0,35
0.040000,6,0,27
0.040000,7,0,23
0.040000,8,0,21
0.040000,9,0,21
0.040000,10,0,19
0.040000,11,0,19
0.040000,12,0,19
0.040000,13,0,17
0.040000,14,0,17
0.040000,15,0,17
0.040000,16,0,17
0.040000,17,0,17
0.040000,18,0,15
