p, k, repitition, day
0.000000,1,0,21
0.000000,2,0,26
0.000000,3,0,23
0.000000,4,0,54
0.000000,5,0,41
0.000000,6,0,37
0.000000,7,0,51
0.000000,8,0,73
0.000000,9,0,52
0.000000,10,0,63
0.000000,11,0,123
0.000000,12,0,98
0.000000,13,0,119
0.000000,14,0,197
0.000000,15,0,130
0.000000,16,0,169
0.000000,17,0,176
0.000000,18,0,211
0.000000,19,0,275
0.025000,1,0,14
0.025000,2,0,25
0.025000,3,0,74
0.025000,4,0,473
0.025000,5,0,1865
0.025000,6,0,1865
0.025000,7,0,1865
0.025000,8,0,1865
0.025000,9,0,1865
0.025000,10,0,1865
0.025000,11,0,1865
0.025000,12,0,1865
0.025000,13,0,1865
0.025000,14,0,1865
0.025000,15,0,1865
0.025000,16,0,1865
0.025000,17,0,685
0.025000,18,0,231
0.025000,19,0,1865
0.050000,1,0,33
0.050000,2,0,204
0.050000,3,0,915
0.050000,4,0,1865
0.050000,5,0,1865
0.050000,6,0,1865
0.050000,7,0,1865
0.050000,8,0,1669
0.050000,9,0,349
0.050000,10,0,1456
0.050000,11,0,199
0.050000,12,0,877
0.050000,13,0,99
0.050000,14,0,1222
0.050000,15,0,97
0.050000,16,0,92
0.050000,17,0,85
0.050000,18,0,79
0.050000,19,0,102
0.075000,1,0,18
0.075000,2,0,1865
0.075000,3,0,1865
0.075000,4,0,1865
0.075000,5,0,1408
0.075000,6,0,450
0.075000,7,0,259
0.075000,8,0,237
0.075000,9,0,978
0.075000,10,0,80
0.075000,11,0,86
0.075000,12,0,87
0.075000,13,0,101
0.075000,14,0,83
0.075000,15,0,85
0.075000,16,0,86
0.075000,17,0,77
0.075000,18,0,92
0.075000,19,0,198
0.100000,1,0,1865
0.100000,2,0,413
0.100000,3,0,452
0.100000,4,0,240
0.100000,5,0,108
0.100000,6,0,96
0.100000,7,0,95
0.100000,8,0,201
0.100000,9,0,93
0.100000,10,0,87
0.100000,11,0,73
0.100000,12,0,77
0.100000,13,0,84
0.100000,14,0,75
0.100000,15,0,73
0.100000,16,0,89
0.100000,17,0,75
0.100000,18,0,76
0.100000,19,0,73
0.125000,1,0,25
0.125000,2,0,1865
0.125000,3,0,93
0.125000,4,0,303
0.125000,5,0,81
0.125000,6,0,83
0.125000,7,0,75
0.125000,8,0,81
0.125000,9,0,80
0.125000,10,0,93
0.125000,11,0,67
0.125000,12,0,73
0.125000,13,0,77
0.125000,14,0,77
0.125000,15,0,71
0.125000,16,0,95
0.125000,17,0,70
0.125000,18,0,73
0.125000,19,0,66
0.150000,1,0,1865
0.150000,2,0,696
0.150000,3,0,95
0.150000,4,0,212
0.150000,5,0,83
0.150000,6,0,79
0.150000,7,0,73
0.150000,8,0,73
0.150000,9,0,79
0.150000,10,0,71
0.150000,11,0,77
0.150000,12,0,79
0.150000,13,0,68
0.150000,14,0,86
0.150000,15,0,69
0.150000,16,0,71
0.150000,17,0,69
0.150000,18,0,63
0.150000,19,0,77
0.150000,1,0,1865
0.150000,2,0,324
0.150000,3,0,95
0.150000,4,0,91
0.150000,5,0,89
0.150000,6,0,84
0.150000,7,0,77
0.150000,8,0,73
0.150000,9,0,195
0.150000,10,0,84
0.150000,11,0,69
0.150000,12,0,61
0.150000,13,0,71
0.150000,14,0,67
0.150000,15,0,80
0.150000,16,0,69
0.150000,17,0,76
0.150000,18,0,67
0.150000,19,0,63
0.175000,1,0,52
0.175000,2,0,213
0.175000,3,0,187
0.175000,4,0,88
0.175000,5,0,81
0.175000,6,0,88
0.175000,7,0,71
0.175000,8,0,77
0.175000,9,0,71
0.175000,10,0,71
0.175000,11,0,188
0.175000,12,0,78
0.175000,13,0,71
0.175000,14,0,73
0.175000,15,0,63
0.175000,16,0,64
0.175000,17,0,69
0.175000,18,0,61
0.175000,19,0,62
