counter, p, k, repitition, day
0,0.150000,1,0,1865
1,0.150000,2,0,1865
2,0.150000,3,0,549
3,0.150000,4,0,81
4,0.150000,5,0,85
5,0.150000,6,0,81
6,0.150000,7,0,71
7,0.150000,8,0,73
8,0.150000,9,0,168
9,0.150000,10,0,75
10,0.150000,11,0,73
11,0.150000,12,0,68
12,0.150000,13,0,75
13,0.150000,14,0,67
14,0.150000,15,0,75
15,0.150000,16,0,66
16,0.150000,17,0,77
17,0.150000,18,0,70
18,0.150000,19,0,66
19,0.150000,20,0,81
20,0.150000,21,0,71
21,0.150000,22,0,61
22,0.150000,23,0,59
23,0.150000,24,0,65
24,0.150000,25,0,72
25,0.150000,26,0,61
26,0.150000,27,0,71
27,0.150000,28,0,69
28,0.150000,29,0,77
29,0.150000,30,0,63
30,0.150000,31,0,67
31,0.150000,32,0,65
32,0.150000,33,0,66
33,0.150000,34,0,62
34,0.150000,35,0,57
35,0.150000,36,0,63
36,0.150000,37,0,69
37,0.150000,38,0,75
38,0.150000,39,0,60
39,0.150000,40,0,68
40,0.150000,41,0,57
41,0.150000,42,0,74
42,0.150000,43,0,61
43,0.150000,44,0,65
44,0.160000,1,0,1865
45,0.160000,2,0,463
46,0.160000,3,0,216
47,0.160000,4,0,84
48,0.160000,5,0,69
49,0.160000,6,0,81
50,0.160000,7,0,183
51,0.160000,8,0,76
52,0.160000,9,0,86
53,0.160000,10,0,81
54,0.160000,11,0,63
55,0.160000,12,0,80
56,0.160000,13,0,65
57,0.160000,14,0,68
58,0.160000,15,0,80
59,0.160000,16,0,65
60,0.160000,17,0,63
61,0.160000,18,0,73
62,0.160000,19,0,65
63,0.160000,20,0,70
64,0.160000,21,0,65
65,0.160000,22,0,82
66,0.160000,23,0,63
67,0.160000,24,0,70
68,0.160000,25,0,79
69,0.160000,26,0,71
70,0.160000,27,0,69
71,0.160000,28,0,60
72,0.160000,29,0,74
73,0.160000,30,0,65
74,0.160000,31,0,59
75,0.160000,32,0,57
76,0.160000,33,0,65
77,0.160000,34,0,69
78,0.160000,35,0,64
79,0.160000,36,0,60
80,0.160000,37,0,61
81,0.160000,38,0,83
82,0.160000,39,0,59
83,0.160000,40,0,65
84,0.160000,41,0,70
85,0.160000,42,0,75
86,0.160000,43,0,81
87,0.160000,44,0,70
88,0.170000,1,0,1865
89,0.170000,2,0,679
90,0.170000,3,0,86
91,0.170000,4,0,207
92,0.170000,5,0,85
93,0.170000,6,0,69
94,0.170000,7,0,74
95,0.170000,8,0,86
96,0.170000,9,0,84
97,0.170000,10,0,77
98,0.170000,11,0,71
99,0.170000,12,0,75
100,0.170000,13,0,69
101,0.170000,14,0,71
102,0.170000,15,0,63
103,0.170000,16,0,63
104,0.170000,17,0,63
105,0.170000,18,0,65
106,0.170000,19,0,75
107,0.170000,20,0,61
108,0.170000,21,0,71
109,0.170000,22,0,65
110,0.170000,23,0,65
111,0.170000,24,0,61
112,0.170000,25,0,59
113,0.170000,26,0,61
114,0.170000,27,0,67
115,0.170000,28,0,77
116,0.170000,29,0,61
117,0.170000,30,0,63
118,0.170000,31,0,67
119,0.170000,32,0,65
120,0.170000,33,0,67
121,0.170000,34,0,69
122,0.170000,35,0,55
123,0.170000,36,0,63
124,0.170000,37,0,59
125,0.170000,38,0,60
126,0.170000,39,0,61
127,0.170000,40,0,59
128,0.170000,41,0,61
129,0.170000,42,0,62
130,0.170000,43,0,65
131,0.170000,44,0,67
132,0.180000,1,0,1865
133,0.180000,2,0,97
134,0.180000,3,0,85
135,0.180000,4,0,87
